no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
2,Graduate,No,1290155,19750696,120,894,7188361,4008673,Male,Married,38,Business,12,0,5138232,Semi-Urban,15.31,1
0,Not Graduate,No,2718825,1230289,6,698,1101975,2165690,Male,Married,27,Business,22,0,5176208,Urban,0.45,1
4,Graduate,Yes,3353029,13306862,180,643,6510031,464008,Female,Married,36,Govt Job,22,0,7454071,Semi-Urban,3.97,1
1,Not Graduate,Yes,7922702,4622565,240,618,6751459,666301,Male,Divorced,61,Student,15,0,580083,Rural,0.58,0
4,Not Graduate,Yes,3230421,15276066,120,838,9038940,3337852,Female,Divorced,25,Govt Job,7,0,1670901,Semi-Urban,4.73,1
1,Not Graduate,Yes,3828456,19909598,24,373,690891,4586032,Male,Divorced,50,Retired,5,1,3694579,Rural,5.2,0
0,Not Graduate,No,2285666,434666,60,786,6856374,10392,Male,Divorced,52,Salaried,27,0,2712819,Rural,0.19,1
3,Graduate,Yes,8991900,843576,240,672,1108553,2295806,Female,Single,33,Salaried,29,0,823794,Semi-Urban,0.09,0
1,Not Graduate,Yes,8027964,7519129,240,452,9964159,174255,Female,Single,61,Salaried,24,0,3266468,Semi-Urban,0.94,0
1,Graduate,No,9809185,10982352,240,533,7598288,4455391,Female,Divorced,33,Student,5,1,4950229,Urban,1.12,0
4,Graduate,Yes,6328069,11118139,12,639,8743290,4359532,Male,Divorced,38,Salaried,13,0,1084879,Semi-Urban,1.76,0
1,Graduate,No,9125103,610792,36,469,958147,4841217,Male,Married,63,Business,10,0,2080057,Urban,0.07,0
3,Not Graduate,Yes,9427150,5478143,36,319,4099487,1435837,Female,Divorced,40,Govt Job,8,1,106617,Rural,0.58,0
3,Not Graduate,Yes,1485187,2739489,36,711,8222135,2309710,Female,Married,37,Salaried,2,0,8392097,Urban,1.84,1
0,Graduate,No,2885016,15590917,180,852,292705,1183886,Male,Single,42,Govt Job,4,0,8764930,Rural,5.4,1
2,Graduate,No,1609118,212704,36,783,8196125,361895,Female,Single,63,Business,14,0,1371221,Semi-Urban,0.13,1
1,Not Graduate,No,2915423,132952,240,375,123387,1040998,Female,Married,40,Retired,14,1,1663954,Semi-Urban,0.05,0
2,Not Graduate,No,5037572,16315075,6,592,5265354,2331184,Male,Married,46,Business,25,1,922287,Semi-Urban,3.24,0
4,Not Graduate,Yes,5922266,3385859,120,704,5113182,1546426,Female,Divorced,59,Retired,25,1,4847060,Urban,0.57,0
0,Graduate,No,2707135,117663,24,629,8881819,4638167,Male,Single,60,Salaried,11,0,2216977,Rural,0.04,1
1,Not Graduate,No,6837200,7920200,36,771,3448513,1951593,Female,Single,53,Govt Job,13,0,967688,Rural,1.16,1
4,Not Graduate,No,2070327,12505169,36,809,5516343,3991631,Male,Divorced,53,Govt Job,8,0,7566265,Rural,6.04,1
1,Graduate,Yes,6138073,17288182,120,690,9206644,3206834,Male,Single,28,Retired,4,0,3660635,Urban,2.82,0
0,Not Graduate,Yes,7267037,12987917,6,720,4844250,4775363,Male,Single,63,Retired,12,1,1086519,Semi-Urban,1.79,0
1,Not Graduate,Yes,6699385,8117585,24,569,2008500,2200247,Male,Divorced,35,Business,7,0,954085,Urban,1.21,0
0,Graduate,Yes,9805339,5678561,240,708,6352342,4146557,Male,Married,29,Business,18,1,673194,Urban,0.58,0
4,Not Graduate,No,528954,17366058,180,563,2833289,3562591,Female,Divorced,54,Govt Job,19,1,3745330,Urban,32.83,0
0,Not Graduate,No,9359764,11349746,36,713,3460067,413081,Female,Single,31,Salaried,9,0,3307848,Semi-Urban,1.21,1
2,Not Graduate,Yes,2117644,16685363,6,690,6735833,3805423,Female,Married,62,Govt Job,20,1,4350763,Urban,7.88,0
4,Graduate,No,9034698,3992832,6,767,5313756,1314618,Female,Single,39,Govt Job,10,0,4430009,Rural,0.44,1
2,Not Graduate,No,8136230,3981839,60,318,3980176,2551280,Male,Single,42,Business,3,0,2957653,Urban,0.49,0
3,Not Graduate,Yes,6909749,8693202,180,807,8561484,3243733,Female,Single,50,Govt Job,16,0,652905,Semi-Urban,1.26,1
1,Graduate,No,7377111,14700804,24,773,7165158,4582709,Female,Divorced,29,Salaried,9,0,4762613,Rural,1.99,1
3,Graduate,Yes,7959795,2349128,60,604,8164067,1840445,Female,Divorced,22,Student,26,1,4273656,Urban,0.3,0
2,Not Graduate,No,1695105,15664385,240,607,3435748,1579014,Male,Single,31,Retired,5,0,4055576,Urban,9.24,0
2,Not Graduate,No,7472208,5767412,60,360,1104295,1455265,Male,Married,54,Business,6,1,2735643,Semi-Urban,0.77,0
2,Not Graduate,Yes,6502739,6027467,180,631,7658727,297510,Female,Divorced,31,Retired,17,1,4119490,Semi-Urban,0.93,0
1,Graduate,Yes,7158926,13923047,60,440,6094595,4776146,Male,Married,55,Retired,8,1,4946439,Urban,1.94,0
1,Graduate,Yes,6511362,7852910,60,720,7391898,1955981,Female,Single,58,Business,18,0,1161459,Semi-Urban,1.21,0
4,Graduate,Yes,9852769,19221610,24,575,9932417,2288260,Male,Married,27,Govt Job,10,1,1456832,Urban,1.95,0
1,Not Graduate,No,912594,16197141,6,629,4061561,926056,Male,Married,56,Govt Job,12,0,4460023,Rural,17.75,0
3,Graduate,No,3839849,13618853,240,681,2363695,1822304,Male,Divorced,62,Retired,25,1,698768,Semi-Urban,3.55,0
1,Graduate,Yes,8860049,12464413,60,561,4165011,1792011,Male,Married,52,Business,20,1,2763120,Urban,1.41,0
1,Graduate,Yes,5609962,8411054,120,845,2493257,2494766,Female,Married,31,Business,21,0,8611833,Semi-Urban,1.5,1
1,Not Graduate,No,4925353,7432969,36,754,3094586,197667,Female,Divorced,37,Salaried,5,0,379048,Rural,1.51,1
4,Not Graduate,Yes,8629498,12444527,180,491,1247240,549697,Male,Divorced,39,Retired,24,1,3326630,Rural,1.44,0
2,Not Graduate,Yes,5561716,9758118,120,453,3918415,3792826,Male,Married,39,Retired,14,0,3845869,Semi-Urban,1.75,0
3,Graduate,Yes,9884945,17103292,12,341,818066,2642913,Female,Married,26,Salaried,26,1,4197909,Semi-Urban,1.73,0
4,Graduate,Yes,5383421,15923865,180,696,4820806,837190,Male,Divorced,51,Retired,18,1,2617631,Urban,2.96,0
2,Graduate,Yes,2175505,406203,180,625,8506934,2081963,Female,Married,33,Business,13,0,1557766,Rural,0.19,0
4,Graduate,No,3520692,16004301,240,628,9763156,4803043,Male,Divorced,43,Retired,23,0,3088636,Semi-Urban,4.55,0
2,Not Graduate,Yes,4404860,5635371,240,437,6956335,1650849,Female,Divorced,33,Govt Job,2,1,4016229,Semi-Urban,1.28,0
4,Not Graduate,Yes,7170749,16912217,12,864,7637440,4086773,Female,Single,59,Business,20,0,4982261,Urban,2.36,1
0,Not Graduate,No,4685015,619136,60,611,3457234,1278586,Male,Single,33,Business,17,0,7432635,Rural,0.13,1
0,Not Graduate,Yes,1100162,4398184,36,564,8024293,633092,Female,Single,51,Salaried,17,1,3306307,Rural,4.0,0
0,Not Graduate,No,6347888,7625877,60,813,8790449,4485576,Male,Divorced,61,Salaried,6,0,1761878,Semi-Urban,1.2,1
2,Graduate,Yes,8549942,17465634,36,677,8459700,4176707,Female,Single,55,Business,19,0,6636142,Urban,2.04,1
0,Graduate,Yes,6494562,7554139,12,835,5713083,933618,Female,Married,53,Business,15,0,4289723,Rural,1.16,1
1,Not Graduate,No,6727616,8686486,36,596,4413599,3292671,Male,Divorced,52,Salaried,28,0,4845816,Rural,1.29,0
1,Graduate,No,5263794,10738005,6,394,1831201,4068936,Female,Divorced,58,Student,7,0,3884063,Urban,2.04,0
4,Not Graduate,Yes,6794392,17389289,240,511,2357244,3892239,Male,Divorced,53,Govt Job,10,0,2504432,Semi-Urban,2.56,0
2,Graduate,No,5877878,11170767,120,671,7772559,2583424,Male,Single,56,Govt Job,14,0,1682165,Semi-Urban,1.9,1
0,Not Graduate,Yes,8712760,8693333,36,640,6243992,460789,Female,Divorced,42,Business,15,0,3772551,Rural,1.0,1
3,Graduate,No,9200976,1000723,120,881,7882959,3519676,Male,Divorced,27,Govt Job,25,0,5989775,Semi-Urban,0.11,1
2,Graduate,Yes,2624573,15733393,12,615,3451288,1469970,Male,Divorced,32,Student,5,0,1986312,Rural,5.99,0
3,Not Graduate,No,3794116,2681608,240,654,7374429,4536968,Female,Single,60,Business,17,1,935997,Semi-Urban,0.71,0
0,Not Graduate,Yes,4623482,19155710,6,697,7044374,757408,Male,Married,57,Salaried,25,0,7401227,Semi-Urban,4.14,1
0,Graduate,No,9324060,460131,120,642,9592609,2696537,Male,Single,62,Salaried,29,1,129484,Urban,0.05,0
2,Graduate,Yes,7111040,4425610,36,746,8004875,4910940,Female,Single,63,Business,5,0,4997175,Semi-Urban,0.62,1
0,Not Graduate,Yes,9266942,14870237,120,632,7734335,4606511,Male,Married,62,Business,10,0,5163541,Rural,1.6,1
1,Graduate,No,1007694,9082831,60,467,5903697,3841707,Female,Married,21,Student,1,0,1839604,Urban,9.01,0
4,Graduate,No,8179050,12487363,60,615,475251,2797796,Male,Married,43,Salaried,28,0,4655722,Rural,1.53,0
2,Graduate,Yes,6780804,17547947,180,461,6798021,1329545,Female,Single,62,Business,13,0,975358,Semi-Urban,2.59,0
3,Graduate,No,5686830,10073679,120,629,8951146,4810346,Male,Divorced,44,Salaried,14,0,4632958,Rural,1.77,1
4,Not Graduate,No,9498419,3155457,180,632,8876684,3981750,Female,Married,40,Student,20,0,4877302,Semi-Urban,0.33,0
0,Not Graduate,Yes,3985356,8447266,60,698,4115954,1856989,Male,Single,64,Salaried,28,0,7679044,Semi-Urban,2.12,1
3,Not Graduate,Yes,2782750,11028089,180,864,6278428,4395951,Female,Married,54,Business,18,0,8054320,Semi-Urban,3.96,1
3,Graduate,Yes,583770,5030851,60,637,472233,3260882,Male,Single,29,Govt Job,14,0,4378010,Rural,8.62,0
3,Not Graduate,No,4674260,8974634,12,665,2600627,3017206,Male,Married,40,Business,3,0,2983289,Urban,1.92,1
1,Not Graduate,No,1870715,7916309,36,334,1315655,1311666,Male,Married,39,Govt Job,25,0,3562611,Rural,4.23,0
0,Not Graduate,Yes,9879212,7047798,240,347,4745156,2183162,Female,Married,63,Retired,11,0,4764708,Semi-Urban,0.71,0
3,Graduate,Yes,1060393,16272319,12,701,6128625,580833,Female,Single,31,Student,24,0,4054517,Rural,15.35,0
2,Not Graduate,Yes,7124817,3526464,36,515,8857810,1680788,Female,Married,63,Retired,26,0,27094,Urban,0.49,0
2,Not Graduate,Yes,8410012,5451854,24,891,2559900,3820234,Female,Married,37,Govt Job,26,0,8830650,Rural,0.65,1
1,Graduate,No,7894760,6413514,24,898,8644136,1796152,Male,Married,21,Salaried,18,0,7648763,Rural,0.81,1
4,Not Graduate,No,4020211,1218611,60,441,7088135,4212045,Female,Single,40,Student,2,0,3521890,Semi-Urban,0.3,0
4,Not Graduate,No,3461561,14443979,24,684,7078643,3176085,Female,Divorced,43,Salaried,3,1,662874,Urban,4.17,0
0,Not Graduate,No,7389355,3718772,60,774,4594855,1601252,Female,Single,52,Govt Job,19,0,6911041,Semi-Urban,0.5,1
4,Not Graduate,Yes,6816481,11412571,36,566,8738936,3171043,Male,Divorced,40,Govt Job,25,1,2490472,Rural,1.67,0
1,Graduate,Yes,1007038,10815868,36,812,5455074,2934642,Male,Divorced,57,Salaried,22,0,6493383,Semi-Urban,10.74,1
0,Not Graduate,Yes,7025397,10160738,24,782,8578949,1178301,Male,Single,55,Business,29,0,5702865,Rural,1.45,1
1,Not Graduate,Yes,2168767,4473411,6,705,561629,3848054,Female,Divorced,54,Business,11,0,2141899,Rural,2.06,1
3,Graduate,Yes,3800897,12637317,12,737,8809488,4180963,Female,Married,31,Business,23,0,4097704,Semi-Urban,3.32,1
2,Graduate,Yes,275150,15654361,180,324,2562438,3935726,Male,Married,63,Govt Job,6,0,2252467,Rural,56.89,0
0,Not Graduate,Yes,2731057,8311170,36,627,2176002,767475,Male,Married,32,Student,22,1,3594781,Rural,3.04,0
4,Graduate,Yes,5656301,11257547,120,717,2545193,498983,Female,Single,30,Salaried,2,0,5078846,Semi-Urban,1.99,1
0,Graduate,Yes,3279842,1300124,60,545,6101008,174799,Female,Divorced,54,Business,4,1,3210902,Urban,0.4,0
4,Graduate,Yes,7140765,11831252,60,643,2256396,4550511,Male,Single,53,Salaried,22,0,8605147,Rural,1.66,1
4,Not Graduate,Yes,1786214,5382007,240,695,1641795,1254305,Male,Single,60,Govt Job,14,0,5566970,Urban,3.01,1
2,Not Graduate,Yes,5053588,18760762,12,674,3457592,3245548,Male,Married,48,Retired,6,0,4870602,Urban,3.71,0
1,Graduate,Yes,1029878,11493377,180,887,1107577,982893,Female,Divorced,42,Govt Job,29,0,1183597,Urban,11.16,1
1,Not Graduate,Yes,305558,18523592,120,606,1956706,4097918,Male,Single,42,Salaried,28,1,2035023,Urban,60.62,0
2,Not Graduate,Yes,5963510,17111618,36,622,5874483,726254,Male,Married,34,Salaried,24,0,4152044,Urban,2.87,1
1,Not Graduate,No,3243988,7348501,60,683,7994906,2232171,Male,Single,21,Salaried,27,0,4398738,Semi-Urban,2.27,1
0,Not Graduate,No,1056516,489711,60,517,6735238,963740,Male,Divorced,38,Retired,17,1,1833590,Rural,0.46,0
1,Graduate,Yes,7706540,9412321,24,799,1455711,3651356,Female,Divorced,61,Business,8,0,721434,Semi-Urban,1.22,1
1,Not Graduate,No,9158057,15281605,120,702,4239973,2066258,Female,Single,64,Business,20,0,1349000,Rural,1.67,1
0,Not Graduate,No,8388392,3347304,36,774,3793850,2352504,Female,Divorced,21,Business,2,0,6832119,Urban,0.4,1
3,Graduate,No,1522856,5721404,24,427,4825369,4041092,Male,Divorced,42,Retired,11,1,2381414,Semi-Urban,3.76,0
4,Graduate,No,7890775,2534382,6,613,7749037,3613863,Male,Divorced,60,Student,7,1,1875894,Rural,0.32,0
4,Graduate,No,2143700,2011159,24,582,7455321,3893371,Female,Single,56,Salaried,0,0,2746610,Semi-Urban,0.94,0
3,Graduate,Yes,2941136,2257002,24,699,4689301,1329830,Male,Single,61,Salaried,27,0,8022316,Urban,0.77,1
3,Graduate,Yes,3089751,702276,180,800,1901903,582019,Female,Divorced,37,Business,2,0,6162801,Urban,0.23,1
1,Not Graduate,Yes,7807352,2981094,6,630,1732156,3897209,Male,Divorced,39,Business,29,0,8650392,Urban,0.38,1
3,Graduate,No,3202231,4178671,12,497,1661147,4931720,Male,Married,53,Student,0,0,3957253,Urban,1.3,0
2,Graduate,No,8137271,3291115,6,744,4979064,3261466,Male,Single,45,Student,28,0,652305,Semi-Urban,0.4,0
0,Graduate,Yes,4348951,16496984,6,643,955042,509378,Female,Married,36,Salaried,22,0,2441212,Urban,3.79,1
2,Graduate,No,9711353,13559049,36,630,4281417,158684,Female,Married,25,Govt Job,16,0,1248499,Semi-Urban,1.4,1
2,Not Graduate,No,9691964,7931708,24,665,1782157,933599,Female,Married,54,Retired,13,1,3921781,Rural,0.82,0
2,Graduate,No,5628166,9174644,180,789,1540756,4070130,Male,Divorced,64,Govt Job,29,0,1525029,Urban,1.63,1
0,Not Graduate,Yes,7486139,6126585,60,698,3866259,4226941,Female,Divorced,58,Salaried,14,1,3006562,Semi-Urban,0.82,0
2,Graduate,Yes,5877454,9516716,120,521,1073515,3663768,Female,Divorced,42,Salaried,19,1,210002,Rural,1.62,0
1,Graduate,No,3408802,14641523,36,348,9307351,3696562,Male,Divorced,29,Student,15,0,3219649,Semi-Urban,4.3,0
2,Graduate,Yes,6479618,3585030,180,863,7782652,2908209,Male,Married,38,Salaried,13,0,6044298,Urban,0.55,1
2,Graduate,Yes,4425610,17229357,12,892,5505993,2794119,Male,Divorced,24,Govt Job,4,0,6740400,Semi-Urban,3.89,1
4,Not Graduate,No,2575929,11210183,36,735,6341193,3587611,Male,Single,36,Govt Job,28,0,2824491,Rural,4.35,1
4,Graduate,No,7439650,2138931,36,373,294430,1669384,Female,Single,22,Salaried,21,0,2780562,Urban,0.29,0
2,Not Graduate,Yes,3449450,5889426,36,746,434117,2915962,Male,Divorced,51,Business,4,0,1531511,Semi-Urban,1.71,1
4,Graduate,Yes,533559,10947332,36,727,5421715,2678294,Female,Married,35,Retired,4,1,4364693,Rural,20.52,0
3,Graduate,Yes,5896255,9530826,36,899,2360129,3428075,Female,Married,56,Business,13,0,8409326,Urban,1.62,1
3,Graduate,No,4771140,14997372,180,656,1620157,1335294,Male,Divorced,44,Salaried,28,0,8010437,Rural,3.14,1
1,Not Graduate,No,7480030,3937285,36,683,7902442,2239851,Female,Divorced,35,Govt Job,1,0,530038,Rural,0.53,1
0,Not Graduate,No,4493555,2026262,6,721,422053,31701,Male,Married,41,Business,1,0,3157337,Urban,0.45,1
0,Graduate,No,2220122,11570878,180,608,5060999,1008383,Female,Single,45,Business,10,0,1119217,Semi-Urban,5.21,1
3,Graduate,No,6865116,1139270,120,724,3194398,2526455,Male,Single,56,Govt Job,1,1,522194,Rural,0.17,0
1,Graduate,Yes,9547842,16271514,24,716,4322970,4764241,Female,Single,26,Salaried,17,0,8045568,Rural,1.7,1
2,Graduate,No,5597196,745617,240,696,4753479,594688,Female,Divorced,22,Govt Job,10,0,2445470,Urban,0.13,0
1,Not Graduate,No,5577428,15002334,24,326,1905738,3705982,Male,Married,58,Student,16,1,2479807,Semi-Urban,2.69,0
0,Graduate,No,2849603,9412079,240,656,6221675,1446476,Female,Single,26,Business,23,0,5097713,Urban,3.3,1
1,Not Graduate,No,2925863,17400795,6,510,4555744,2796693,Female,Single,60,Business,22,0,3137081,Urban,5.95,0
3,Not Graduate,No,7604846,5110921,240,594,7741610,2418287,Female,Single,31,Retired,10,1,2587060,Semi-Urban,0.67,0
4,Graduate,Yes,599617,2782565,120,693,4051397,336608,Male,Single,51,Business,25,0,2649081,Semi-Urban,4.64,0
0,Graduate,Yes,2546982,6651862,36,621,905830,3843855,Female,Married,31,Salaried,2,0,3813069,Urban,2.61,1
2,Not Graduate,No,9768374,16295791,12,733,8570353,3051742,Male,Married,26,Govt Job,18,0,5965217,Semi-Urban,1.67,1
2,Not Graduate,Yes,2258771,4356004,12,773,5449812,4181438,Female,Married,41,Govt Job,9,0,8265989,Semi-Urban,1.93,1
3,Graduate,Yes,9281241,8956636,6,449,347549,1531032,Female,Divorced,25,Business,4,0,1366134,Urban,0.97,0
2,Not Graduate,No,5770676,18589405,24,615,1697909,1049437,Male,Divorced,40,Business,14,0,3294188,Urban,3.22,1
2,Graduate,No,9717050,17420779,60,784,3555781,867483,Male,Married,45,Business,25,0,4589966,Rural,1.79,1
4,Graduate,Yes,2757201,2543838,60,843,4593492,3597939,Male,Single,38,Govt Job,29,0,9944454,Rural,0.92,1
1,Graduate,No,7973434,9844310,120,475,6194858,4932392,Male,Single,63,Salaried,17,1,839169,Semi-Urban,1.23,0
3,Graduate,Yes,3805530,15478623,120,369,9402744,2920221,Male,Married,34,Salaried,4,1,4798749,Urban,4.07,0
2,Not Graduate,No,6821770,16771262,12,438,7233885,3664879,Female,Divorced,32,Business,17,0,1009750,Urban,2.46,0
0,Not Graduate,No,6767449,13596796,60,657,1716984,910315,Male,Divorced,56,Salaried,0,1,4816054,Urban,2.01,0
2,Graduate,No,1712143,11163691,24,819,351814,2775908,Male,Married,23,Govt Job,11,0,3075308,Urban,6.52,1
2,Graduate,No,9401953,6277214,60,596,9860852,3068842,Female,Married,36,Student,22,0,3348939,Semi-Urban,0.67,0
1,Graduate,Yes,2681775,12481028,240,845,4110752,3727436,Female,Married,50,Govt Job,25,0,4424438,Urban,4.65,1
2,Graduate,No,343115,853665,120,691,8465175,4089250,Male,Divorced,34,Govt Job,29,0,2978972,Semi-Urban,2.49,1
3,Not Graduate,Yes,9178859,7296577,180,765,4398360,2740338,Female,Divorced,52,Salaried,11,0,5878482,Urban,0.79,1
1,Not Graduate,Yes,4226429,5444782,6,783,6599613,3040523,Female,Single,50,Govt Job,9,0,2026407,Rural,1.29,1
4,Not Graduate,No,3844773,13034898,6,557,4812276,1118940,Male,Single,56,Student,0,1,4395137,Urban,3.39,0
1,Not Graduate,Yes,9145185,15966244,60,650,9934289,4740541,Male,Single,34,Business,22,0,739774,Semi-Urban,1.75,0
2,Not Graduate,No,5555638,9358041,24,612,5959838,2319165,Female,Divorced,63,Business,18,0,2173717,Rural,1.68,1
2,Graduate,Yes,4040524,504856,24,661,7481900,716578,Male,Divorced,31,Salaried,23,0,487870,Semi-Urban,0.12,1
3,Graduate,No,4608436,2293393,36,623,9907219,1326797,Female,Married,47,Retired,7,0,4681142,Rural,0.5,0
2,Not Graduate,Yes,3063590,17877588,60,625,9629721,813639,Female,Single,60,Business,24,0,484404,Semi-Urban,5.84,1
2,Graduate,Yes,1724805,10907082,24,673,4835669,3876828,Male,Single,64,Salaried,16,0,6944245,Rural,6.32,1
0,Not Graduate,No,5182411,18116782,60,656,6701665,1549960,Female,Married,61,Salaried,10,1,344578,Urban,3.5,0
4,Not Graduate,Yes,4734294,14197874,240,849,4803988,1272242,Female,Single,61,Business,12,0,4525235,Semi-Urban,3.0,1
3,Graduate,Yes,2140155,12501849,36,760,463238,1057002,Male,Married,37,Salaried,15,0,8013084,Semi-Urban,5.84,1
0,Graduate,No,3882501,15396010,180,727,6235882,2350078,Male,Single,34,Govt Job,25,0,1805825,Urban,3.97,0
0,Graduate,Yes,3518902,17643184,36,680,1212907,3494978,Male,Single,39,Business,4,0,9541327,Urban,5.01,1
4,Graduate,No,7875110,10892677,6,503,7257271,4379601,Male,Divorced,47,Govt Job,10,0,2811077,Urban,1.38,0
4,Graduate,Yes,4862644,16082633,120,308,241871,1618335,Male,Divorced,30,Salaried,5,1,1354798,Urban,3.31,0
0,Graduate,Yes,2862199,3882575,24,619,2160166,2663078,Female,Single,21,Business,29,0,1374229,Semi-Urban,1.36,0
0,Not Graduate,Yes,4275671,11248979,180,560,7292242,2034851,Male,Single,22,Business,28,0,100939,Rural,2.63,0
0,Not Graduate,Yes,6003337,17184966,120,606,9070331,1315749,Female,Single,25,Govt Job,26,0,8549925,Rural,2.86,1
3,Graduate,No,3168621,18123694,120,790,6987336,4696442,Male,Divorced,62,Business,19,0,4061067,Urban,5.72,1
4,Graduate,No,4371738,11120568,120,593,9161782,1480036,Female,Married,33,Business,12,1,340814,Semi-Urban,2.54,0
3,Not Graduate,Yes,2246309,11312617,180,602,7837385,3618742,Male,Single,41,Govt Job,11,0,4574419,Semi-Urban,5.04,0
4,Not Graduate,No,3243493,18915105,180,551,5761441,4468295,Female,Divorced,57,Govt Job,24,0,3880322,Urban,5.83,0
4,Graduate,No,2813268,8458001,120,672,9041213,3424112,Male,Divorced,44,Salaried,26,0,6366386,Rural,3.01,1
0,Not Graduate,Yes,9461642,1092227,180,797,5771944,669021,Male,Single,22,Business,3,0,3260168,Rural,0.12,1
4,Not Graduate,No,7563584,10564127,60,395,6036916,4779842,Female,Divorced,33,Student,0,1,1610086,Semi-Urban,1.4,0
1,Not Graduate,Yes,6974422,5170355,180,525,6752896,4702419,Female,Divorced,29,Retired,22,1,4334185,Urban,0.74,0
1,Not Graduate,No,9609587,19721082,60,724,5514837,2048756,Male,Single,46,Govt Job,4,0,6761167,Urban,2.05,1
2,Not Graduate,Yes,3999394,19342788,60,726,9804533,3193654,Male,Single,46,Govt Job,17,0,3225610,Urban,4.84,0
4,Graduate,Yes,4069574,4935902,36,579,8833475,867470,Female,Married,37,Retired,14,1,3927313,Urban,1.21,0
4,Not Graduate,Yes,9412523,13432467,24,629,6778270,3088461,Female,Single,31,Govt Job,23,0,5330782,Urban,1.43,1
2,Not Graduate,Yes,4552695,4003313,24,844,7302048,3340371,Male,Single,56,Salaried,4,0,9385381,Rural,0.88,1
3,Graduate,Yes,2376296,556771,180,708,1733580,290310,Male,Divorced,27,Student,22,0,872871,Semi-Urban,0.23,0
1,Not Graduate,Yes,6949938,4952747,60,672,8445621,1668047,Female,Divorced,57,Salaried,22,0,4820014,Rural,0.71,1
1,Graduate,No,3935471,2484559,12,438,6729714,3558521,Male,Divorced,23,Retired,29,1,2557045,Rural,0.63,0
4,Graduate,Yes,9846569,9394872,240,454,1192383,3512330,Female,Divorced,35,Salaried,17,1,261306,Urban,0.95,0
4,Graduate,Yes,1362745,18028600,6,707,2713332,3363688,Female,Married,35,Salaried,13,0,2373326,Urban,13.23,1
